"Interprete","Codigo","Nome","Trecho","Idioma","Pacotes"
"Adele","2600","SOMEONE LIKE YOU","I heard that you're settled down","EUA","INT04C"
"Adele","20039","TURNING TABLES","Close enough to start a war","EUA","INT11B"
"Adele","19678","WATER UNDER THE BRIDGE","If you're not the one for me
","EUA","INT09A"
"Adele","19404","WHEN WE WERE YOUNG","Everybody loves the things you...
","EUA","INT07C"
"Adhemar de Campos (Comunidade da Graça)","2986","NOSSO GENERAL","Pelo Senhor marchamos sim o Seu","BRA","EVAN04D"
"Adílson Ramos","6982","SONHAR CONTIGO","Sonhar contigo por toda vida","BRA","8A"
"Adoniran Barbosa","16322","APAGA O FOGO MANÉ","Inez saiu dizendo que ia comprar um pavio","BRA","31B"
"Adoniran Barbosa","7062","AS MARIPOSAS","As mariposa quando chega o ...","BRA","9A"
"Adoração e Adoradores","7782","FAZ CHOVER","Assim como a corsa anseia por águas","BRA","EVC"
"Adoração e Adoradores","7887","VIM PARA ADORAR-TE","Luz do mundo vieste à terra pra que eu","BRA","EVD"
"Adriana","9466","I LOVE YOU BABY","Difícil é viver sem teu amor eu era tão feliz","BRA","13B"
"Adriana Calcanhoto","1581","CANÇÃO DE NOVELA","Toalha molhada lâmpada acesa cidade","BRA","18C"
"Adriana Calcanhoto","6126","DEVOLVA-ME","Rasgue as minhas cartas e ...","BRA","5B"
"Adriana Calcanhoto","16605","ERA PRA SER","Era pra ser cancao de amor","BRA","33A"
"Adriana Calcanhoto","9450","ESQUADROS","Eu ando pelo mundo prestando atenção","BRA","13A"
"Adriana Calcanhoto","6822","FICO ASSIM SEM VOCÊ","Avião sem asa fogueira sem ...","BRA","7E"
"Adriana Calcanhoto","17694","INVERNO","No dia em que fui mais feliz","BRA","39P"
"Adriana Calcanhoto","6573","JUSTO AGORA","Eu ouvi dizer que você assim","BRA","6E"
"Adriana Calcanhoto","4160","MAIS FELIZ","O nosso amor não vai parar ...","BRA","3F"
"Adriana Calcanhoto","1297","MARESIA","Meu amor me deixou levou minha","BRA","16D"
"Adriana Calcanhoto","4161","MENTIRAS","Nada ficou no lugar ...","BRA","3F"
"Adriana Calcanhoto","2798","METADE","Eu perco o chão eu não acho ...
","BRA","22A"
"Adriana Calcanhoto","9846","MULHER SEM RAZÃO","Saia dessa vida de migalhas desses homens","BRA","14B"
"Adriana Calcanhoto","7648","NAQUELA ESTAÇÃO","Você entrou no trem e eu na estação vendo","BRA","11B"
"Adriana Calcanhoto","7661","OUTRA VEZ","Outra vez sem você outra vez sem amor","BRA","11E"
"Adriana Calcanhoto","7668","PELOS ARES","Não lhe peço nada mas se acaso você","BRA","11B"
"Adriana Calcanhoto","1119","SEU PENSAMENTO","A uma hora dessas por onde estará seu","BRA","15B"
"Adriana Calcanhoto","4138","VAMBORA","Entre por essa porta agora","BRA","3E"
"Adriana Marques","2408","AMOR PERFEITO","O vento sopra e leva a solidão...
","BRA","EVAN04A"
"Adrian Gurvitz","19726","CLASSIC","Got to write a classic","EUA","INT09C"
"Adryana e a Rapaziada","6121","AMOR PRA VALER","Já faz tanto tempo não consigo esquecer","BRA","5B"
"Adryana e a Rapaziada","6294","EU TE AMO (AND I LOVE HER)","Foi tanto que eu te amei e não ","BRA","5F"
"Adryana e a Rapaziada","6257","FIM DE NOITE","Você nunca vai me ver sofrer não consegue me","BRA","5E"
"Adryana e a Rapaziada","4458","SÓ FALTAVA VOCÊ","Só faltava você pra completar
","BRA","4E"
"Adryana e a Rapaziada","6035","TUDO PASSA","Tudo na vida passa Tudo na ...","BRA","4G"
"Adryana Ribeiro","3789","E AGORA?","E agora como é que eu vou ficar","BRA","2E"
"Adryana Ribeiro","1490","SAUDADE VEM","O que é que você foi fazer ...","BRA","18A"
"Adryana Ribeiro - Luiz Carlos","3390","SEMPRE SOU EU","É... mais uma vez estou chorando","BRA",""
"Aerosmith","4678","AMAZING","I get the right ones out the wrong ones in had","EUA","USAA"
"Aerosmith","19538","ANGEL","I´m alone yeah I don´t know if
","EUA","INT08B"
"Aerosmith","4879","CRAZY","Come here baby You know you drive me up","EUA",""
"Aerosmith","19165","CRYIN'","There was a time when I was so brokenhearted","EUA","INT06A"
"Aerosmith","19172","DREAM ON","Every time that I look in the mirror","EUA","INT06A"
"Aerosmith","20394","FALLING IN LOVE (IS HARD ON THE KNEES)","You´re so bad... You think you´re in love","EUA","INT13M"
"Aerosmith","20555","FLY AWAY FROM HERE","Gotta find a way yeah I can´t wait another day","EUA","INT14M"
"Aerosmith","20625","FULL CIRCLE","If I could change the world","EUA","INT15C"
"Aerosmith","20225","HOLE IN MY SOUL","Is it over is it over cause I m blowing out","EUA","INT12C"
"Aerosmith","4909","I DON'T WANT TO MISS A THING","I could stay awake just to hear you","EUA",""
"Aerosmith","19658","JADED","Hey j-j-jaded you got your mama's style
","EUA","INT09A"
"Aerosmith","19505","JANIE'S GOT A GUN","Dum dum dum honey what have you done
","EUA","INT08A"
"Aerosmith","19876","LIVIN ON THE EDGE","Theres somethin wrong with the world today","EUA","INT10B"
"Aerosmith","19625","PINK","Pink it's my new obsession 
","EUA","INT08D"
"Aerosmith","20430","WHAT IT TAKES","There goes my old girlfriend","EUA","INT13Q"
"Afrodisíaco","7621","JA É","Ôh ôh ôh... Incendeia ôh ôh... Clareia","BRA","11E"
"Afrodite se Quiser","1434","O QUE QUE ELA TEM QUE EU NÃO TENHO","Não adianta por mais que eu tente","BRA","17C"
"Agepê","7328","DE AMOR É BOM","Um lindo canto com um gosto de viver","BRA","10D"
"Agepê","6454","DEIXA EU TE AMAR","Quero ir na fonte do teu ser e banhar","BRA","6B"
"Agepê","7332","DE TODAS AS FORMAS","Me dê a posse do teu corpo ...","BRA","10E"
"Agepê","1455","LÁ VEM O TREM","Lá vem o trem no passo que o vento vem","BRA","17D"
"Agepê","7381","ME LEVA","Tudo nasceu de brincadeira ...","BRA","10A"
"Agepê","6938","MENINA DE CABELOS LONGOS","Ê ê ê... menina de cabelos ...","BRA","8B"
"Agepê","3883","MOÇA CRIANÇA","O seu andar tem jeito de moça...","BRA","2G"
"Agepê","3848","MORO ONDE NÃO MORA NINGUÉM","Moro, onde não mora ninguém","BRA","2F"
"Agepê","1535","NINGUÉM FAZ AMOR COMO VOCÊ","Se eu perdi a hora não se zangue comigo","BRA","18B"
"Aggeu Marques","15178","MÁQUINA DO TEMPO","Finjo não saber que o tempo passa logo","BRA","24A"
"Agnaldo Rayol","15521","ACORRENTADOS (ENCADENADOS)","Talvez fosse melhor se não ...","BRA","26B"
"Agnaldo Rayol","3739","AMIGOS PARA SEMPRE","Eu não tenho nada pra dizer","BRA","2D"
"Agnaldo Rayol","3737","A PRAIA","Em plena praia no céu azul ...","BRA","2D"
"Agnaldo Rayol","6362","AVE MARIA NO MORRO","Barracão de zinco sem telhado sem pintura","BRA","5H"
"Agnaldo Rayol","15853","NÃO VOLTO MAIS","Se você quiser saber amor vou cuidar de mim","BRA","28B"
"Agnaldo Rayol","6303","O PRINCÍPIO E O FIM","A minha vida em carinhos darei por toda uma","BRA","5F"
"Agnaldo Rayol","7031","SANTA LUCIA","Sul mare luccica l'astro d'argento","ITA","INT-ITA"
"Agnaldo Rayol-Charlotte Church","7036","TORMENTO D'AMORE","Martirio tormento d'amore","ITA","INT-ITA"
"Agnaldo Timóteo","7282","A CASA DE IRENE","Os dias tristes são como longa rua","BRA","10B"
