"Interprete","Codigo","Nome","Trecho","Idioma","Pacotes"
"Banda Magníficos","3955","FORA DE MIM","Pensei demais, e resolvi tirar você do","BRA","3A"
"Banda Magníficos","6019","ME FAZ UM DENGO","Êta peneirado gostoso é...","BRA","4G"
"Banda Magníficos","3712","ME USA","Momentos de amor quero com você","BRA","2C"
"Banda Magníficos","3959","MEU TESÃO É VOCÊ","Quando você me olha, amor","BRA","3A"
"Banda Magníficos","3965","O HOMEM IDEAL","Só quero um homem que...","BRA","3A"
"Banda Magníficos","7230","QUERO TER VOCÊ PRA MIM","Hoje a saudade visitou meu...","BRA","9F"
"Banda Magníficos","6030","SÓ DEPENDE DE NÓS","Só depende de nós ""Pega"" fogo os lençóis","BRA","4G"
"Banda Magníficos","7250","SONHAR","Essa chama forte meu amor","BRA","9E"
"Banda Magníficos","6999","VERDADEIRO AMOR","Sem você eu não teria motivo algum para","BRA","8B"
"Banda Magníficos","4260","VOLTE PRA MIM","Se me amas abra logo o jogo","BRA","3H"
"Banda Mel","3023","BAIANIDADE NAGÔ","Êh ôh êh ôh laiá... Já pintou verão calor no","BRA",""
"Banda Mel","3028","BATEU SAUDADE","Jura jura que me dá o seu amor","BRA","1E"
"Banda Mel","3359","CRENÇA E FÉ","Vou dar a volta no mundo","BRA",""
"Banda Mel","7139","FESTA NA BAHIA","Deixei minha linda na praia de Itapu","BRA","9C"
"Banda Mel","3383","PREFIXO DE VERÃO","Aê aê...ei ei... Quando você chegar quando","BRA",""
"Banda Rara","5520","DEIXA TUDO","Talvez você não saiba mas existe um a","BRA","EVAN101"
"Banda Rara","5529","ESTRELA DA MANHÃ","És a nossa Estrela da Manhã...","BRA","EVAN101"
"Banda Rara","5539","HIP HOP","Olhe bem, preste atenção","BRA","EVAN101"
"Banda Rara","5540","HUMANIDADE","Humanidade perdida tentando se encontrar","BRA","EVAN101"
"Banda Rara","5543","JESUS É O AMOR","Não houve alguém como Jesus","BRA","EVAN101"
"Banda Rara","5550","MARANATA","Cristo manda atento estar","BRA","EVAN101"
"Banda Rara","5553","METRÓPOLE","Andando pelas ruas de São Paulo, então","BRA","EVAN101"
"Banda Rara","5562","PASTOR","Ainda que lutas, tristezas e opressões","BRA","EVAN101"
"Banda Rara","5564","PRESENÇA","Tua presença em mim é mais que tudo e","BRA","EVAN101"
"Banda Rara","5566","PURA HARMONIA","Quem me dera encontrar","BRA","EVAN101"
"Banda Rara","5572","QUERO LEMBRAR","Quero lembrar, Cristo ama você","BRA","EVAN101"
"Banda Rara","5578","REI DOS REIS","Reina sim Deus, reina sim","BRA","EVAN101"
"Banda Rara","5590","TUDO QUE EU QUIS","Um dia olhei em mim, vi muito rancor","BRA","EVAN101"
"Banda Rara","5593","VEM DE FORA","Quando olhamos para o mundo","BRA","EVAN101"
"Banda Rara","5595","VÍCIOS","Olha bem a sua vida diga o que te","BRA","EVAN101"
"Banda Rara","5597","VIDA","Vejo nas pessoas o que eu não...","BRA","EVAN101"
"Banda Reflexus","16444","MADAGASCAR OLODUM","Criaram-se vrios reinados","BRA","32A"
"Banda Uó","15765","CHOREI","Eu ainda me lembro bem foi naquele dia","BRA","27D"
"Banda Uó","15535","FAZ UÓ","Hoje eu acordei danado com fogo ","BRA","26B"
"Banda Uo - Karol Conka","16312","DA1LIKE","O cabelo precisava de um corte","BRA","31A"
"Banda Uó - Mr. Catra","15647","CATRACA","Tá top tá top tá é muito louco essa festa tá","BRA","27A"
"Banda Vingadora","15887","METRALHADORA","Paredão zangado grave...
","BRA","28C"
"Banda Voa Dois","9388","AMOR PIREI","Sabe amor eu nunca esqueci a primeira vez","BRA","13B"
"Bangles","4820","ETERNAL FLAME","Close your eyes give me your hand darling","EUA",""
"Barão Vermelho","6841","A CHAVE DA PORTA DA FRENTE","Becos escuros ruas desertas sombras","BRA","7F"
"Barão Vermelho","17281","BABY SUPORTE","Baby suporte suporte baby... Amor escravo de","BRA","37E"
"Barão Vermelho","3511","BETE BALANÇO","Pode seguir a tua estrela","BRA","1J"
"Barão Vermelho","6724","BILHETINHO AZUL","Hoje eu acordei com sono e sem vontade","BRA","7C"
"Barão Vermelho","6817","CUIDADO","O que você come o que você bebe","BRA","7E"
"Barão Vermelho","17063","ENQUANTO ELA NAO CHEGAR","Quantas coisas eu ainda vou provar","BRA","35D"
"Barão Vermelho","16327","FLORES DO MAL","Não me atire no mar de solidão","BRA","31B"
"Barão Vermelho","7614","FÚRIA E FOLIA","Me chamo vento... Passeando pela cidade","BRA","11D"
"Barão Vermelho","2809","MEUS BONS AMIGOS","Meus bons amigos onde estão","BRA","22A"
"Barão Vermelho","3890","O POETA ESTÁ VIVO","Baby, compra o jornal e vem ver o sol","BRA","2G"
"Barão Vermelho","16193","PEDRA, FLOR E ESPINHO","Hoje eu não quero ver o sol
","BRA","30B"
"Barão Vermelho","7211","PENSE E DANCE","Penso como vai minha vida","BRA","9F"
"Barão Vermelho","17196","POLITICA VOZ","Eu não sou o mudo balbuciando querendo falar","BRA","36J"
"Barão Vermelho","16798","POR QUE A GENTE E ASSIM","Mais uma dose","BRA","34A"
"Barão Vermelho","4369","POR VOCÊ","Por você eu dançaria tango no teto","BRA","4C"
"Barão Vermelho","17238","PRA TODA A VIDA","Primeiro foi a musica a cancão fez voce sorrir","BRA","36N"
"Barão Vermelho","3223","PRO DIA NASCER FELIZ","Todo o dia a insônia me convence que","BRA","1H"
"Barão Vermelho","4010","PURO ÊXTASE","Toda brincadeira não devia ter hora","BRA","3B"
"Barão Vermelho","15093","SORTE E AZAR","Tudo é questão de obedecer ao instinto","BRA","23C"
"Barão Vermelho","17168","TAO LONGE DE TUDO","Solidão amiga do peito","BRA","36F"
"Barbara Dias","17151","9 MESES (ORACAO DO BEBE)","Um mes e o tempo voa eu ja sou","BRA","36B"
"Barbra Streisand","9002","ALL I ASK OF YOU","No more talk of darkness","EUA",""
"Barbra Streisand","19332","EVERGREEN","Love soft as an easy chair love fresh as","EUA","INT07A"
"Barbra Streisand","4941","MEMORY","Midnight not a sound from the pavement","EUA",""
"Barbra Streisand","9175","STONEY END","I was born from love","EUA","INT02-8F"
"Barbra Streisand","4658","THE WAY WE WERE","Memories light the corners of my mind","EUA","USAB"
"Barbra Streisand","9197","WHERE YOU LEAD","Wanting you the way I do I only wanna","EUA","INT02-8E"
"Barbra Streisand","4613","WOMAN IN LOVE","Life is a moment in space","EUA","USAG"
"Barbra Streisand - Barry Gibb","9111","GUILTY","Shadows falling baby we stand alone","EUA","INT02-8D"
"Barbra Streisand - Barry Gibb","9195","WHAT KIND OF FOOL","There was a time","EUA","INT02-8D"
"Barclay James Harvest","4647","POOR MAN'S MOODY BLUES","All the nights that I've missed you","EUA","USAG"
"Barry Manilow","4691","CAN'T SMILE WITHOUT YOU","You know I can't smile without you I can't","EUA","USAB"
"Barry Manilow","9250","COPACABANA","Her name was Lola she eas a showgirl with","EUA",""
"Barry Manilow","2554","DAYBREAK","I'm singing to the world","EUA","INT04B"
"Barry Manilow","9104","EVEN NOW","Even now when there's someone else who","EUA","INT02-8E"
"Barry Manilow","2544","I MADE IT THROUGH THE RAIN","We dreamers have our ways","EUA","INT04B"
"Barry Manilow","4719","I WRITE THE SONGS","I've been alive forever and I wrote","EUA","USAG"
"Barry Manilow","9134","LOOKS LIKE WE MADE IT","There you are lookin' just the same","EUA","INT02-8E"
"Barry Manilow","4736","MANDY","I remember all my life","EUA","USAD"
"Barry Manilow","9049","READY TO TAKE A CHANCE AGAIN","You remind me I live in a shell","EUA",""
"Barry Manilow","19928","SHIPS","We walked to the sea just my father and me","EUA","INT10D"
"Barry Manilow","4978","THE OLD SONGS","Candles burning glasses are chilled","EUA",""
"Barry Manilow","9185","THIS ONE'S FOR YOU","This one'll never sell they'll never un","EUA","INT02-8E"
"Barry White","19720","YOU'RE THE FIRST THE LAST MY EVERYTHING","My first my last my everything 
","EUA","INT09B"
"Bartô Galeno","1775","NO TOCA-FITA DO MEU CARRO","No toca-fita do meu carro","BRA","19D"
"Bartô Galeno","15421","O GRANDE AMOR DA MINHA VIDA","Amor você não sabe o quanto eu estou","BRA","25C"
"Bartô Galeno","1797","SE EU FOR EMBORA É PRO NOSSO BEM","Se qualquer dia desses ao você desper","BRA","19D"
"Bartô Galeno","15508","SÓ LEMBRANÇAS","Só lembranças... E nada mais","BRA","26A"
"Bastille","19226","POMPEII","I was left to my own devices","EUA","INT06B"
"Batifun","15481","ABANA","Vai abana que o pretinho tá mal assopra","BRA","26A"
"Bay City Rollers","4650","SATURDAY NIGHT","Saturday night Saturday night...
","EUA","USAB"
"Beach Boys (The)","4895","GOOD VIBRATION","I, I love the colorful clothes she wears","EUA",""
"Beach Boys (The)","4652","SLOOP JOHN B.","We'll come on the sloop, John B.","EUA","USAA"
"Beach Boys (The)","19670","SURFIN' USA","If everybody had an ocean
","EUA","INT09A"
"Beastie Boys","20516","SABOTAGE","I can´t stand it I know you planned it","EUA","INT14H"
"Beatles (The)","2511","A DAY IN THE LIFE","I read the news today oh boy","EUA","INT04A"
"Beatles (The)","4851","A HARD DAY'S NIGHT","It's been a hard day's night and I've been","EUA",""
"Beatles (The)","2601","ALL MY LOVING","Close your eyes and I'll kiss you","EUA","INT04C"
"Beatles (The)","5864","ALL YOU NEED IS LOVE","Love love love... There's nothing you can do","EUA",""
"Beatles (The)","4563","AND I LOVE HER","I give her all my love that's all I do and if you","EUA","USAB"
"Beatles (The)","5869","BABY IT'S YOU","Sha la la... It's not the way you smile that","EUA",""
"Beatles (The)","20242","BLACKBIRD","Blackbird singin in the dead of night","EUA","INT12D"
"Beatles (The)","5882","CAN'T BUY ME LOVE","Can't buy me love oh love oh can't buy me","EUA",""
"Beatles (The)","4507","COME TOGETHER","Here come old flat top He come grooving up","EUA","USAF"
"Beatles (The)","19169","DAY TRIPPER","Got a good reason for talking the easy way out","EUA","INT06A"
"Beatles (The)","4882","DON'T LET ME DOWN","Don't let me down don't let me down","EUA",""
"Beatles (The)","19375","EIGHT DAYS A WEEK","Oh I need your love babe guess you know it's true
","EUA","INT07B"
"Beatles (The)","19247","ELEANOR RIGBY","Ah look at all the lonely people... Eleanor Rigby","EUA","INT06C"
"Beatles (The)","4892","FREE AS A BIRD","Free as a bird it's the next best","EUA",""
"Beatles (The)","2643","FROM ME TO YOU","Da da da... If there's anything that you want","EUA","INT04D"
"Beatles (The)","9110","GET BACK","Jo Jo was a man who thought he was a loner","EUA","INT02-8E"
"Beatles (The)","4628","GIRL","Is there anybody gone to listen to my story","EUA","USAA"
"Beatles (The)","20326","GOLDEN SLUMBERS","Once there was a way","EUA","INT13E"
"Beatles (The)","20562","GOT TO GET INTO MY LIFE","I was alone I took a ride I didn`t know","EUA","INT14N"
"Beatles (The)","19124","HELLO, GOODBYE","You say yes I say no you say stop but","EUA","INT05D"
"Beatles (The)","4518","HELP","Help I need somebody not just anybody help","EUA","USAD"
"Beatles (The)","19525","HERE COMES THE SUN","Here comes the sun doo doo doo doo
","EUA","INT08B"
"Beatles (The)","20122","HERE,THERE AND EVERYWHERE","To lead a better life I need my love","EUA","INT12A"
"Beatles (The)","4714","HEY JUDE","Hey Jude, don't make it bad","EUA","USAG"
"Beatles (The)","2608","I CALL YOUR NAME","I call your name but you're not there","EUA","INT04C"
"Beatles (The)","5916","I FEEL FINE","Baby's good to me you know","EUA",""
"Beatles (The)","19255","IF I FEEL","If I fell in love with you would you promise to be true","EUA","INT06C"
"Beatles (The)","2645","I'LL BE BACK","You know If you break my heart I'll go","EUA","INT04D"
"Beatles (The)","20047","IN MY LIFE","There are places Ill remember","EUA","INT11C"
"Beatles (The)","20438","I SAW HER STANDING THERE","Well she was just seventeen","EUA","INT13R"
"Beatles (The)","19847","I SHOULD HAVE KNOWN BETTER","I Should have known better","EUA","INT10B"
"Beatles (The)","4525","I WANNA HOLD YOUR HAND","Oh yeah I'll tell you something","EUA","USAB"
"Beatles (The)","19298","LADY MADONNA","Lady Madonna children at your feet wonder how","EUA","INT06D"
"Beatles (The)","4534","LET IT BE","When I find myself in times of trouble","EUA","USAG"
"Beatles (The)","4936","LOVE ME DO","Love, love me do You know I love you","EUA",""
"Beatles (The)","19618","LUCY IN THE SKY WITH DIAMONDS","Picture yourself in a boat on a river
","EUA","INT08D"
"Beatles (The)","4739","MICHELLE","Michelle, ma belle these are words that","EUA","USAF"
"Beatles (The)","2619","MONEY","The best things in life are free","EUA","INT04C"
"Beatles (The)","2624","NOWHERE MAN","He's a real Nowhere Man sitting in his","EUA","INT04D"
"Beatles (The)","4644","OBLADI OBLADA","Desmond has a barrow in the marketplace","EUA","USAG"
"Beatles (The)","9149","OH DARLING","Oh darling please believe me","EUA","INT02-8E"
"Beatles (The)","19302","PAPERBACK WRITER","Paperback writer writer writer Dear sir or madam","EUA","INT06D"
"Beatles (The)","19390","PENNY LANE","Penny Lane there is a barber showing photographs
","EUA","INT07B"
"Beatles (The)","20413","REVOLUTION","You say you wanna a revolution","EUA","INT13P"
"Beatles (The)","19906","ROCK AND ROLL MUSIC","Just let me hear some of that rock and","EUA","INT10C"
"Beatles (The)","19709","SGT. PEPPER'S LONELY HEART CLUB BAND","It was twenty years ago today
","EUA","INT09B"
"Beatles (The)","4965","SHE LOVES YOU","She loves you yeah, yeah, yeah","EUA",""
"Beatles (The)","4770","SOMETHING","Something in the way she moves","EUA","USAH"
"Beatles (The)","19272","THE BALLAD OF JOHN AND YOKO","Standing in the dock at Southhampton","EUA","INT06C"
"Beatles (The)","20499","THE FOOL ON THE HILL","Day after day alone on a hill","EUA","INT14F"
"Beatles (The)","4674","THE LONG AND WINDING ROAD","The long and winding road","EUA","USAD"
"Beatles (The)","9186","TICKET TO RIDE","I think I'm gonna be sad","EUA","INT02-8D"
"Beatles (The)","20478","TILL THERE WAS YOU","There were bells on a hill but I never heard","EUA","INT14D"
"Beatles (The)","4793","TWIST AND SHOUT","Well shake it up baby Twist and Shout","EUA","USAH"
"Beatles (The)","19316","WE CAN WORK IT OUT","Try to see it my way do I have to keep on talking","EUA","INT06D"
"Beatles (The)","2636","WHEN I'M SIXTY-FOUR","When I get older losing my hair","EUA","INT04D"
"Beatles (The)","19990","WHILE MY GUITAR GENTLY WEEPS","I look at you all","EUA","INT11A"
"Beatles (The)","20250","WITH A LITTLE HELP FROM MY FRIENDS","What would you think if I sang out of tune","EUA","INT12D"
"Beatles (The)","4995","YELLOW SUBMARINE","In the town where I was born","EUA",""
"Beatles (The)","4559","YESTERDAY","Yesterday all my troubles seemed  so far away","EUA","USAD"
"Bebel Gilberto","6954","O CAMINHO","Não quero mais seguir um só caminho...","BRA","8B"
"Bebe Rexha - Florida Georgia Line","19824","MEANT TO BE","Baby lay on back and relax","EUA","INT10A"
"Bebeto","7041","A BELEZA É VOCÊ MENINA","A beleza é você menina no seu jeito","BRA","9A"
"Bebeto","7954","ESSA MENINA","Essa menina não sabe que eu morro de","BRA","12C"
"Bebeto","9338","SEGURA A NEGA","A gente pra viver bem nesse mundo","BRA","12B"
"Bee Gees","20361","CHARADE","Some nights we made our love in the sand","EUA","INT13J"
"Bee Gees","4511","DON'T FORGET TO REMEMBER","Oh my heart won't believe that you have left","EUA","USAF"
"Bee Gees","4708","FIRST OF MAY","When I was small and Christmas trees","EUA","USAD"
"Bee Gees","20004","FOR WHOM THE BELL TOLLS","I stumble in the night","EUA","INT11B"
"Bee Gees","9220","GREASE","I saw my problems and I'll see the light","EUA",""
"Bee Gees","4904","HOW CAN YOU MEND A BROKEN HEART","I can think of younger days when living for","EUA",""
"Bee Gees","4716","HOW DEEP IS YOUR LOVE","I know your eyes in the morning sun","EUA","USAE"
"Bee Gees","5913","I CAN'T SEE NOBODY","I walk the lonely streets","EUA",""
"Bee Gees","4585","I STARTED A JOKE","I started a joke which started","EUA","USAF"
"Bee Gees","2616","LOVE SO RIGHT","She came on like the night","EUA","INT04C"
"Bee Gees","4737","MASSACHUSETTS","Feel I'm going back to Massachusetts","EUA","USAC"
"Bee Gees","9045","MORE THAN A WOMAN","Oh, girl I've known you very well","EUA",""
"Bee Gees","5949","NIGHT FEVER","Listen to the ground","EUA",""
"Bee Gees","4743","NIGHTS ON BROADWAY","Here we are in a room full
","EUA","USAH"
"Bee Gees","2535","REACHING OUT","Watching every day go by","EUA","INT04A"
"Bee Gees","9051","RUN TO ME","If ever you got rain in your heart","EUA",""
"Bee Gees","4772","STAYIN' ALIVE","Well you can tell by the way I use my w","EUA","USAF"
"Bee Gees","9069","TO LOVE SOMEBODY","There's a light a certain kind of light","EUA",""
"Bee Gees","4791","TOO MUCH HEAVEN","Nobody gets too much heaven no more","EUA","USAD"
"Bee Gees","19674","TRAGEDY","Here I lie In a lost and lonely part of town
","EUA","INT09A"
"Bee Gees","19758","WISH YOU WERE HERE","You're living your life in somebody els","EUA","INT09C"
"Bee Gees","4665","WORDS","Smile an everlasting smile","EUA","USAD"
"Bee Gees","20190","YOU SHOULD BE DANCING","My baby moves at midnight","EUA","INT12B"
"Begin","2252","EGAO NO MANMA","Tsurai toki demo waratterareru sonna","JAP","JP5B"
"Begin","18298","KARIYUSHI NO YORU","Sakura Bashi kara Oohashi mireba kawa","JAP","JP6C"
"Begin","18262","KOISHIKUTE","Koishikute naki dashita hibi nado moh","JAP","JP6B"
"Begin","18428","OJI JIMAN NO ORION BEER","Shima to tsuku mono nandemo suki de","JAP","JP7B"
"Begin","2388","SANSHIN NO HANA","Itsu shika wasurerareta ojii no katami no","JAP","JP5E"
"Begin","2016","SHIMANCHU NU TAKARA","Boku ga umareta kono shima no sora","JAP","JP4A"
"Begin","18636","UMI NO KOE","Sora no koe ga kikitakute","JAP","JP8C"
"Belchior","7052","ALUCINAÇÃO","Eu não estou interessado em nenhuma","BRA","9D"
"Belchior","7044","À PALO SECO","Se você vier me perguntar por onde andei","BRA","9B"
"Belchior","3015","APENAS UM RAPAZ LATINO AMERICANO","Eu sou apenas um rapaz","BRA",""
"Belchior","1323","COMENTÁRIOS A RESPEITO DE JOHN","Saia do meu caminho eu prefiro andar","BRA","17A"
"Belchior","15767","CORAÇÃO SELVAGEM","Meu bem guarde uma frase pra mim","BRA","27D"
"Belchior","1653","DIVINA COMÉDIA HUMANA","Estava mais angustiado","BRA","19A"
"Belchior","3921","MEDO DE AVIÃO","Foi por medo de avião","BRA","2H"
"Belchior","1387","NA HORA DO ALMOÇO","No centro da sala diante da mesa","BRA","17B"
"Belchior","3854","PARALELAS","Dentro do carro sobre o trevo
","BRA","2F"
"Belchior","16820","SUJEITO DE SORTE","Presentemente eu posso me considerar","BRA","34B"
"Belchior","6556","TODO SUJO DE BATOM","Eu estou muito cansado do peso da minha","BRA","6D"
"Belchior","7267","TUDO OUTRA VEZ","Há tempo muito tempo que eu estou longe de","BRA","9C"
"Bell Marques","15576","LINDO É VIVER","E o amor que a gente procurou por aí ","BRA","26C"
"Bell Marques","15581","NICOLAU","Nicolau foi na unidade C passar para o CD","BRA","26C"
"Belo","16664","CONTRAMAO","Se bater no coracao vou deixar fluir","BRA","33B"
"Belo","6012","DESAFIO","Já virou desafio Me apossar do teu","BRA","4G"
"Belo","9659","DESSE JEITO É RUIM PRA MIM","Eu aqui olhando o telefone escrevendo o seu","BRA","14E"
"Belo","1685","DIREITO DE TE AMAR","Você me diz que somos como água","BRA","19B"
"Belo","16994","E O QUE EU MERECO","Deixa que eu seguro a barra","BRA","35B"
"Belo","6057","ETERNAMENTE","Por que por que que todo amor","BRA","4H"
"Belo","7141","FIM DA TRISTEZA","A vida ensinou eu sei vivendo aprendi a amar","BRA","9A"
"Belo","1256","INCONDICIONALMENTE","Você vem me procurar faço tudo pra","BRA","16C"
"Belo","7981","INTRIGA DA OPOSIÇÃO","Diz pra mim que vai ficar você sabe","BRA","12D"
"Belo","1428","INVENCÍVEL","Viajei por tanto tempo pra te ver","BRA","17C"
"Belo","6261","LAMBADA DE SERPENTE","Cuidado pé de milho que demora na semente","BRA","5E"
"Belo","7644","NADA VAI SEPARAR","De manhã sem te ver sinto um vazio em","BRA","11D"
"Belo","15740","NOS DESEJOS DE UMA PAIXÃO","Na sua ausência eu já chorei um mar mas","BRA","27C"
"Belo","18027","PERFEITO PAR","Sabe quando os olhos falam mais do que","BRA","41Q"
"Belo","1023","PERFUME","Vivia com o coração fechado","BRA","15A"
"Belo","6192","PROCURA-SE UM AMOR","Procura-se um amor que tenha cor de","BRA","5C"
"Belo","6111","QUEM SERÁ","""Alô quem tá falando como quem tá falando","BRA","5A"
"Belo","9525","RAZÃO DA MINHA VIDA","Quando eu me vi perdido você...","BRA","13A"
"Belo","1399","REINVENTAR","Diz que já é tarde que não tem mais jei","BRA","17B"
"Belo","6384","RESUMO DA FELICIDADE","Eu agradeço a Deus por existir você","BRA","5H"
"Belo","4499","TUA BOCA","Mel tua boca tem um mel E melhor sabor","BRA","4F"
"Belo","2775","TUDO MUDOU","Tudo mudou depois que eu senti o sabor","BRA","21D"
"Belo","9560","VEM","Você estava ali parada tão sozinha sem","BRA","13A"
"Belo","15518","VI AMOR NO SEU OLHAR","Gosto mesmo de olhar a lua gosto de","BRA","26A"
"Belo","6320","VIVER POR ELA","Com ela eu aprendi o gosto do amor","BRA","5F"
"Belo","17728","VOCE E EU","Quando voce não me liga","BRA","40A"
"Belo","9568","VOCÊ SABE","Você sabe que nasceu pra mim tá na cara","BRA","13E"
"Belo - Flavia Santana","9523","QUERO TE AMAR","Hoje eu acordei percebi que você não estava","BRA","13C"
"Belo - Ivete Sangalo","16226","LINDA ROSA","O linda rosa pecaminosa criatura","BRA","30C"
"Belô Velloso","7631","MAMÃE CORAGEM","Mamãe mamãe não chore a vida é assim","BRA","11E"
"Ben Harper","5889","DIAMONDS ON THE INSIDE","I knew a girl her name was truth","EUA",""
"Ben Harper","6000","WALK AWAY","Oh no here comes that sun again","EUA",""
"Beniamino Gigli","7037","TORNA A SURRIENTO","Vide 'o mare quant'e bello","ITA","INT-ITA"
"Benito Di Paula","1491","AH, COMO EU AMEI","O amor que eu tenho guardado no peito","BRA","18A"
"Benito Di Paula","15024","ALÉM DE TUDO","Você ficou sem jeito e encabulada","BRA","23A"
"Benito Di Paula","9385","AMIGO DO SOL AMIGO DA LUA","E eu criança presa em brinquedos de trapaças","BRA","13A"
"Benito Di Paula","15006","ASSOBIAR OU CHUPAR CANA","Seria muito bom seria muito legal","BRA","23A"
"Benito Di Paula","9629","CANÇÃO DE VIVER COM VOCÊ","Olha eu que tinha até um mar aberto","BRA","14E"
"Benito Di Paula","3698","CHARLIE BROWN","Eh meu amigo Charlie","BRA","2C"
"Benito Di Paula","15844","COMO DIZIA O MESTRE","É acaba a valentia de um homem","BRA","28B"
"Benito Di Paula","6651","DO JEITO QUE A VIDA QUER","Ninguém sabe a mágoa que trago no peito","BRA","7A"
"Benito Di Paula","7641","MODIFICAÇÃO","Eu acalentei seu pranto até dediquei","BRA","11E"
"Benito Di Paula","4124","MULHER BRASILEIRA","Agora chegou a vez vou cantar","BRA","3E"
"Benito Di Paula","7188","NÃO PRECISA ME PERDOAR","Amor voltei pra pedir perdão","BRA","9F"
"Benito Di Paula","9864","PROTEÇÃO ÀS BORBOLETAS","Eu sou como a borboleta tudo o que eu penso","BRA","14E"
"Benito Di Paula","7228","QUE BELEZA","Que beleza ô que beleza que beleza","BRA","9E"
"Benito Di Paula","6310","RETALHOS DE CETIM","Ensaiei meu samba o ano inteiro comprei surdo","BRA","5F"
"Benito Di Paula","9872","SANFONA BRANCA","Aquela sanfona branca aquele chapéu de","BRA","14C"
"Benito Di Paula","4097","SE NÃO FOR AMOR","Você me olha desse jeito","BRA","3D"
"Benito Di Paula","6477","TUDO ESTÁ NO SEU LUGAR","Tudo está no seu lugar graças...","BRA","6B"
"Benito Di Paula","3777","VAI FICAR NA SAUDADE","Você cortou o barato do meu amor","BRA","2D"
"Benito Di Paula","7274","VIOLÃO NÃO SE EMPRESTA A NINGUÉM","Onde está você com o meu violão","BRA","9D"
"Benito Di Paula - Demonios da Garoa","1641","A VIDA É DURA","Quais quais quali cos quais","BRA","19A"
"Ben´s Brother","20456","LET ME OUT","You sit and you stare and you wait and you wonder","EUA","INT14B"
"Benson Boone","20671","BEAUTIFUL THINGS","For a while there it was rough","EUA","INT15H"
"Berlin","4781","TAKE MY BREATH AWAY","Watching every motion","EUA","USAC"
"Bertie Higgins","4573","CASABLANCA","I fell in love with you watching Casablanca","EUA","USAH"
"Beth Carvalho","6441","1800 COLINAS","Subi mais de mil e oitocentas colinas","BRA","6B"
"Beth Carvalho","6801","A CHUVA CAI","A chuva cai lá fora você vai se molhar já lhe","BRA","7E"
"Beth Carvalho","17081","ACREDITAR","Acreditar eu não recomecar jamais","BRA","36A"
"Beth Carvalho","15401","ÁGUA DE CHUVA NO MAR","Ôooo meu coração hoje tem paz","BRA","25C"
"Beth Carvalho","1162","AMOR DE VERDADE","Tem que ser agora ou nunca mais","BRA","16A"
"Beth Carvalho","3302","ANDANÇA","Vim tanta areia, andei","BRA","1K"
"Beth Carvalho","7058","ANTES ELE DO QUE EU","Morreu... o nosso amor morreu mas cá pra","BRA","9A"
"Beth Carvalho","1375","CABÔ MEU PAI","O pai me disse que a tradição é","BRA","17B"
"Beth Carvalho","6055","COISINHA DO PAI","Ô coisinha tão bonitinha do pai","BRA","4H"
"Beth Carvalho","7098","CORDA NO PESCOÇO","E o povo como está tá com a corda no pescoço","BRA","9D"
"Beth Carvalho","16096","FIRME E FORTE","E aproveita aproveita hoje porque a vida é uma só
","BRA","29D"
"Beth Carvalho","6778","FOLHAS SECAS","Quando eu piso em folhas secas","BRA","7D"
"Beth Carvalho","16516","MALANDRO SOU EU","Segura teu santo seu moco teu santo e de barro","BRA","32B"
"Beth Carvalho","7234","SACO DE FEIJÃO","Meu Deus mas para que tanto dinheiro","BRA","9F"
"Beth Carvalho","16868","SAMBA DE ARERE","Meu samba tem muito axe","BRA","34C"
"Beth Carvalho","18037","SEM ATAQUE SEM DEFESA","Veja so o nosso amor não deu em nada","BRA","41R"
"Beth Carvalho","3296","VOU FESTEJAR","Chora não vou ligar não vou ligar","BRA","1D"
"Beth Carvalho - Mercedes Sosa","15534","EU SÓ PEÇO A DEUS","Que a dor não me seja indiferente só peço a Deus","BRA","26B"
"Beth Carvalho - Zeca Pagodinho","17053","CAMARAO QUE DORME A ONDA LEVA","Não pense que meu coracão","BRA","35D"
"Beth Lamas","6696","FAMA","Money no bolso é tudo que eu quero","BRA","7B"
"Betinho ","7167","LÚCIA ESPARADRAPO","Não se muda nem desgruda","BRA","9D"
"Beto Barbosa","7047","ADOCICA","Adocica meu amor adocica adocica meu amor","BRA","9E"
"Beto Barbosa","3650","BALANÇA O BUMBUM MUCHACHA","Quando eu te vejo bate meu...
","BRA","2B"
"Beto Barbosa","3457","BEIJINHO NA BOCA","Beijinho na boca gostoso doce mel","BRA",""
"Beto Barbosa","3419","DONA","É amor e prazer uma louca paixão","BRA","1F"
"Beto Barbosa","3407","EMBALO TRILEGAL","Eu vou mostrar pra você como se dança","BRA","1B"
"Beto Barbosa","3153","MEU AMOR NÃO VÁ EMBORA","Meu amor não vá embora não","BRA","1A"
"Beto Barbosa","7182","MORENÁ MORENOU","Eu gosto de você menina só você sabe","BRA","9F"
"Beto Barbosa","3485","PRETA","Preta fala pra mim","BRA",""
"Beto Guedes","6646","AMOR DE ÍNDIO","Tudo que move é sagrado e remove as","BRA","7A"
"Beto Guedes","6420","MARIA SOLIDÁRIA","Eu choro de cara suja meu papagaio o vento","BRA","6A"
"Beto Guedes","6544","PAISAGEM DA JANELA","Da janela lateral do quarto de dormir","BRA","6D"
"Beto Guedes","3493","SOL DE PRIMAVERA","Quando entrar setembro","BRA",""
"Bette Midler","4657","THE ROSE","Some say love it is a river","EUA","USAH"
